scenario,nonce,baseline_profit,v6_profit,v6_quality,oracle1_profit,oracle1_status,oracle1_time,oracle1_degcheck,oracle3_profit,oracle3_status,oracle3_time,oracle2_profit,oracle2_status,oracle2_time,oracle2_replay_profit,oracle2_bound_violation,oracle2_flow_violation,oracle2_replay_error,oracle2_max_clip,oracle2_quality
BASELINE,60,16544.832847975813,40309.13758770252,1.4363581038655102,46345.9053140429,optimal,0.1080021858215332,46344.094387752615,47141.34063689366,optimal,0.11600017547607422,43489.41880237503,optimal,0.51035475730896,43487.98090737345,False,False,,2.6290081223123707e-13,1.6285801253088628
BASELINE,65,29392.756042033696,51075.510098149774,0.7376904031854152,59957.64856748287,optimal,0.12199926376342773,59955.82742362186,60806.41165742617,optimal,0.10103726387023926,54225.66551355947,optimal,0.451427698135376,54224.195845565715,False,False,,3.232969447708456e-13,0.8448649536357908
BASELINE,70,14681.167855550975,39428.03572704516,1.685619843958921,50303.3954631224,optimal,0.11035346984863281,50301.2920457175,51200.32320571257,optimal,0.1069650650024414,45858.3852488229,optimal,0.4003317356109619,45856.74878344856,False,False,,3.481659405224491e-13,2.1236197077714185
BASELINE,75,18733.347784873404,45844.03180039381,1.447188421706677,52162.675179314305,optimal,0.10903525352478027,52160.72149720397,52992.94544527263,optimal,0.10696530342102051,49677.028567200075,optimal,0.41170430183410645,49675.37479397095,False,False,,3.2374103398069565e-13,1.6517966321887716
BASELINE,80,384.7976680671304,47510.6876894873,10.0,56707.83621238301,optimal,0.10497784614562988,56705.55736740198,57691.359941221395,optimal,0.10302138328552246,49971.03027821709,optimal,0.40312767028808594,49969.44898732437,False,False,,2.2026824808563106e-13,10.0
BASELINE,85,38010.813250911095,51108.36218374388,0.34457428853286287,59446.88882732139,optimal,0.10696649551391602,59444.873503309675,60258.24226542662,optimal,0.09803056716918945,54703.38687735005,optimal,0.38942742347717285,54701.90016334789,False,False,,2.8421709430404007e-13,0.439153288192267
BASELINE,90,34305.31753551111,53192.136865735665,0.5505507800685225,59841.22090893863,optimal,0.10899972915649414,59839.4906789814,60544.20585358803,optimal,0.09800004959106445,55742.46154542844,optimal,0.4049992561340332,55740.99403164093,False,False,,1.8474111129762605e-13,0.6248927440214423
BASELINE,95,21347.7081652351,45761.00413909181,1.1436026660918261,55872.73643143682,optimal,0.10000395774841309,55870.94859707577,56635.4865857701,optimal,0.10399985313415527,48937.39999630132,optimal,0.4240381717681885,48936.15351656052,False,False,,2.0605739337042905e-13,1.2923959619564145
CONGESTED,1,10514.742487435282,65882.62783251613,5.265738595688637,101051.2154806146,optimal,0.21199870109558105,101046.53364285878,102890.50629617581,optimal,0.20003223419189453,79392.40315999195,optimal,1.4388010501861572,79389.05984755387,False,False,,2.0250467969162855e-13,6.550579888029809
CONGESTED,6,4938.391240037246,79538.1091726592,10.0,124959.03044629474,optimal,0.2030322551727295,124954.58402007387,126955.16452634233,optimal,0.20099639892578125,102534.7076412853,optimal,1.548827886581421,102531.42611744165,False,False,,4.405364961712621e-13,10.0
CONGESTED,11,1.6920585948047827e-12,95296.46213200664,10.0,168876.51460104223,optimal,0.20240306854248047,168871.65433152317,170974.9277492479,optimal,0.19196581840515137,124262.46693213175,optimal,1.46402907371521,124259.19074221037,False,False,,7.523028902893529e-13,10.0
CONGESTED,16,559.0736649721573,87844.70426746043,10.0,129171.30794406903,optimal,0.19900107383728027,129166.7365233006,131161.76470326213,optimal,0.18900203704833984,102931.38666060756,optimal,1.489227056503296,102927.73755408518,False,False,,5.471179065352771e-13,10.0
CONGESTED,21,3439.2725253480166,64742.738677407004,10.0,140085.2261581322,optimal,0.18996906280517578,140080.58540984278,142273.00493440486,optimal,0.20096755027770996,88902.78706710998,optimal,1.6052234172821045,88899.26278715268,False,False,,2.7000623958883807e-13,10.0
CONGESTED,26,1334.1769609593007,80232.18874702089,10.0,109176.1006767854,optimal,0.20287489891052246,109171.55981482666,111116.23552331128,optimal,0.22300004959106445,89604.02850640121,optimal,1.4870505332946777,89600.67103560826,False,False,,2.6290081223123707e-13,10.0
CONGESTED,31,7211.369548567652,91775.17466815401,10.0,138901.81462989748,optimal,0.21547150611877441,138896.85077759012,141199.36649340406,optimal,0.2200005054473877,108775.17948690637,optimal,1.5090012550354004,108771.73292874082,False,False,,4.618527782440651e-13,10.0
CONGESTED,36,23253.82686107543,76862.35356114387,2.3053636297386544,124968.7106003154,optimal,0.22099661827087402,124964.361324437,126966.2949150405,optimal,0.21500086784362793,96086.43342978678,optimal,1.4265646934509277,96083.10430166029,False,False,,3.446132268436486e-13,3.132069701933394
CONGESTED,41,11447.504579434433,88713.16719395663,6.7495638085684835,148181.9382971202,optimal,0.2095625400543213,148177.1663871907,150253.90890164196,optimal,0.20503807067871094,108796.58073571813,optimal,1.4563751220703125,108793.07994299388,False,False,,4.156675004196586e-13,8.503956078136751
CONGESTED,46,6806.575034627554,70081.01587871108,9.296076295770938,114444.01761495814,optimal,0.2111673355102539,114439.10391950911,116391.40865225095,optimal,0.20554757118225098,83839.06442770641,optimal,1.5944151878356934,83835.7827070842,False,False,,6.892264536872972e-13,10.0
CONGESTED,51,31192.38171483887,110124.4515206934,2.5304919170623763,161675.4568674984,optimal,0.20000052452087402,161670.88009744548,163805.0317144824,optimal,0.2635009288787842,132065.92395949518,optimal,1.9122776985168457,132062.4407308118,False,False,,7.034373084024992e-13,3.23391599793852
CONGESTED,56,13738.910298134659,72426.71345406445,4.271649052081388,109979.04144882402,optimal,0.20403337478637695,109974.56400030425,111856.46088456489,optimal,0.205519437789917,87802.58544454465,optimal,1.4731411933898926,87799.15649386964,False,False,,2.5224267119483557e-13,5.390796907020701
CONGESTED,61,5167.071856074457,92145.34424370792,10.0,184764.8985403238,optimal,0.25611376762390137,184760.36223967973,187013.64962807845,optimal,0.2307295799255371,130207.21217324883,optimal,2.1006150245666504,130203.9665604444,False,False,,1.0729195309977513e-12,10.0
CONGESTED,66,7605.088801875176,81530.89297829033,9.720570803652786,116620.71495057154,optimal,0.3048062324523926,116615.84786273,118637.20648077117,optimal,0.23174071311950684,91801.95981747162,optimal,1.832226037979126,91798.41754708556,False,False,,3.765876499528531e-13,10.0
CONGESTED,71,28249.033885547156,117938.26480895869,3.174948611822212,158574.6618733018,optimal,0.21396780014038086,158569.9108677296,160573.67549399592,optimal,0.22910547256469727,132913.15349084267,optimal,1.491377353668213,132909.53374519828,False,False,,5.613287612504791e-13,3.705051295759144
CONGESTED,76,1.4879759731797228e-12,78693.7371670487,10.0,111847.35489938478,optimal,0.33776259422302246,111842.64129472138,113648.63665425868,optimal,0.2480018138885498,91233.54303409795,optimal,1.5980098247528076,91229.90728933149,False,False,,3.730349362740526e-13,10.0
CONGESTED,81,11507.324581148641,73733.50029724246,5.407527637886006,92976.51706694963,optimal,0.4228501319885254,92971.55472445452,94987.93358224463,optimal,0.47127532958984375,81256.38334053673,optimal,2.1829819679260254,81252.71003354192,False,False,,3.8262726320681395e-12,6.061274995891754
CONGESTED,86,6458.378180680415,72435.54544897587,10.0,97705.99878649632,optimal,0.3160111904144287,97700.98436601354,99582.23913671004,optimal,0.2754819393157959,77927.18162752775,optimal,2.6348843574523926,77923.7889210146,False,False,,7.958078640513122e-13,10.0
CONGESTED,91,14959.192329959615,74622.95155154642,3.988434529189547,160886.5026934182,optimal,0.34718966484069824,160881.5900416536,162917.0123814464,optimal,0.3549520969390869,96271.25285880451,optimal,2.158717632293701,96267.41984146815,False,False,,4.298783551348606e-13,5.435591623523757
CONGESTED,96,1.5219019248281293e-09,74610.8318839571,10.0,154200.77768832742,optimal,0.23150157928466797,154195.88727672197,156100.50022108568,optimal,0.22107172012329102,104206.36796777585,optimal,1.8294360637664795,104202.65594010425,False,False,,4.334310688136611e-13,10.0
