seed,scenario,nonce,baseline,O0,O1,O2,O4,O8,OF
42,CONGESTED,66,34376.91327356335,1.5255019762149122,1.5953312628814413,1.6175284421844738,1.6076946078762262,1.6067492746159167,1.8545399098947428
42,CONGESTED,86,36337.601502594516,1.4773267130373582,1.5130649776943983,1.5230504943907124,1.5345298514884582,1.555098163564003,1.8688497386767402
42,CONGESTED,56,46515.28748483051,2.4393248382639943,2.513561036837123,2.5034590060365014,2.531111512809149,2.5487026601398868,2.697815082507471
42,CONGESTED,1,22351.904945304257,2.3827641033648117,2.4574336845081923,2.4640022509220025,2.4615510874101982,2.4722298626248356,2.763923511746034
42,CONGESTED,21,18073.65893432436,2.831982852414432,3.0029856884306123,3.001104007134772,3.03324824335255,3.006249799833107,4.052225955175388
42,CONGESTED,16,17123.332025461204,3.2040760169991462,3.2670088206281265,3.2608357019446714,3.268505005335246,3.284959580896332,3.516085806870435
42,CONGESTED,26,20907.72188293289,4.513734251805522,4.638168298363296,4.654213266893124,4.613641262599085,4.575573450057987,5.147389547989124
42,CONGESTED,81,15074.105187583235,4.453381453657635,4.451154080525662,4.50235850904625,4.525838002718346,4.578677502471608,5.5358905134755165
42,CONGESTED,41,18859.85421049445,4.674955219847199,4.714520889437213,4.758788652816732,4.804057708029205,4.8364743543983675,5.354671616651552
42,CONGESTED,61,13922.40752739766,4.286139245364502,4.419672902910137,4.520246841221156,4.7304227678521755,4.876609184942772,6.953868624507659
42,CONGESTED,51,10570.703890542552,7.43425629636017,7.550163225875753,7.57724422619037,7.6467333156565,7.6713578143756855,9.154126945844524
42,CONGESTED,36,6625.978487092835,7.9132028186754955,8.165901227545929,8.1941743034959,8.225330855338397,8.132351179397881,10.0
