scenario,nonce,baseline_profit,current_policy_profit,current_quality,solve_time,solver_status,oracle_profit,oracle_quality,replay_profit,replay_bound_violation,replay_flow_violation,replay_max_clip,primal_ub_residual,primal_eq_residual,soc_residual,soc_bound_violation,objective_replay_discrepancy,current_to_oracle_gap,n_vars,n_eq,n_ub
DENSE,18,38617.37170403475,538820.7758108622,10.0,45.92282819747925,optimal,614786.7944625138,10.0,614764.2151739935,False,False,3.9175773736133124e-11,1.3891110484109959e-12,9.308109838457312e-12,1.0629719326971099e-11,0.0,22.579288520268165,0.0,34560,11520,76800
CAPSTONE,19,13664.519514577092,752919.6299207485,10.0,182.11901354789734,optimal,1265020.7227424048,10.0,1264982.796696215,False,False,1.1484004858175467e-09,2.524913611523516e-11,3.1580782433593413e-10,3.022115890871646e-10,0.0,37.92604618985206,0.0,57600,19200,115200
BASELINE,20,28027.008076760507,39004.52772527638,0.391676,0.15580987930297852,optimal,41848.433610383094,0.4931466639348464,41847.00769032919,False,False,1.6342482922482304e-13,7.105427357601002e-15,1.4210854715202004e-14,4.263256414560601e-14,0.0,1.425920053901791,0.10147066393484638,2880,960,5760
CONGESTED,21,2980.999464512717,87855.44068400256,10.0,1.031914234161377,optimal,93281.31592383047,10.0,93277.5380698371,False,False,3.765876499528531e-13,5.684341886080802e-14,3.552713678800501e-14,9.947598300641403e-14,0.0,3.7778539933642605,0.0,5760,1920,11520
MULTIDAY,22,18181.656705796402,288088.07696769154,10.0,13.847527503967285,optimal,348367.76160927676,10.0,348353.4101247085,False,False,2.588507186374045e-11,4.760636329592671e-13,6.853184686406166e-12,6.814104835939361e-12,0.0,14.351484568265732,0.0,23040,7680,46080
DENSE,23,41107.295854857024,658655.5657274154,10.0,40.068429946899414,optimal,732550.5402487338,10.0,732527.651248088,False,False,8.517275773556321e-11,6.17355055965163e-11,2.2581048142455984e-11,2.7334579044691054e-11,0.0,22.889000645838678,0.0,34560,11520,76800
CAPSTONE,24,16469.663036637314,549487.928559811,10.0,191.5866734981537,optimal,1043990.0704772829,10.0,1043953.83401327,False,False,4.4298076318227686e-10,6.186695600263192e-11,1.1654321951937163e-10,1.1665690635709325e-10,0.0,36.23646401287988,0.0,57600,19200,115200
BASELINE,25,48056.65881148651,64395.13010320337,0.339984,0.13100123405456543,optimal,68054.77684832277,0.4161362552246386,68053.37394777796,False,False,1.3855583347321954e-13,1.3322676295501878e-14,1.4210854715202004e-14,3.907985046680551e-14,0.0,1.4029005448101088,0.07615225522463859,2880,960,5760
CONGESTED,26,46084.87020777623,128157.98268984967,1.780912,0.8424181938171387,optimal,139432.9118658985,2.0255680711528927,139429.4113923088,False,False,2.6290081223123707e-13,2.4868995751603507e-14,5.684341886080802e-14,8.348877145181177e-14,0.0,3.500473589694593,0.24465607115289267,5760,1920,11520
MULTIDAY,27,15537.308268399027,245738.3378887009,10.0,13.797055721282959,optimal,289569.7032124927,10.0,289554.95178230293,False,False,1.993072373807081e-12,3.5420555377640994e-12,6.750155989720952e-13,6.536993168992922e-13,0.0,14.751430189760868,0.0,23040,7680,46080
DENSE,28,28529.22280488227,655429.457187783,10.0,36.83006715774536,optimal,723475.514333311,10.0,723450.9215997433,False,False,3.133848736069922e-11,5.969003069594692e-12,9.662493027917662e-12,8.254730232692964e-12,0.0,24.592733567696996,0.0,34560,11520,76800
CAPSTONE,29,11912.114030901537,647006.4270878121,10.0,169.66521549224854,optimal,1103959.2524891444,10.0,1103919.0681981724,False,False,2.7742039776512684e-09,1.2505552149377763e-10,1.1535092880876618e-09,1.150336714772493e-09,0.0,40.18429097207263,0.0,57600,19200,115200
BASELINE,30,4136.931874520799,39814.739501547294,8.624219,0.14699721336364746,optimal,41002.325022142024,8.911288427484735,41000.58436790231,False,False,2.7355895326763857e-13,1.4210854715202004e-14,2.842170943040401e-14,9.237055564881302e-14,0.0,1.740654239714786,0.2870694274847345,2880,960,5760
CONGESTED,31,13701.154640721614,63370.63485267989,3.625204,0.7731926441192627,optimal,68318.7414389405,3.9863491965780726,68315.35534873334,False,False,1.2789769243681803e-13,2.1316282072803006e-14,2.1316282072803006e-14,2.842170943040401e-14,0.0,3.3860902071610326,0.36114519657807254,5760,1920,11520
MULTIDAY,32,16563.1274781751,252684.2959999328,10.0,11.638428688049316,optimal,296039.9139364887,10.0,296024.5095929699,False,False,3.9612757518625585e-12,7.389644451905042e-13,1.0196288258157438e-12,1.0906830993917538e-12,0.0,15.40434351877775,0.0,23040,7680,46080
DENSE,33,27394.6960767251,708768.2813420634,10.0,38.97683668136597,optimal,772166.0473392697,10.0,772142.1721635209,False,False,5.137223979545524e-12,6.927791673660977e-13,2.3163693185779266e-12,2.3305801732931286e-12,0.0,23.875175748718902,0.0,34560,11520,76800
CAPSTONE,34,28092.554206917895,688147.8159546981,10.0,182.03476572036743,optimal,1173600.980922418,10.0,1173563.2135776351,False,False,1.7972964450052586e-08,1.2876810728812416e-10,4.729727720587107e-09,4.778257789439522e-09,0.0,37.76734478282742,0.0,57600,19200,115200
BASELINE,35,11441.196415137223,39616.844463927526,2.462649,0.21700406074523926,optimal,42042.69257049981,2.674676235100792,42041.32690572016,False,False,1.3855583347321954e-13,7.105427357601002e-15,1.4210854715202004e-14,3.730349362740526e-14,0.0,1.365664779645158,0.21202723510079213,2880,960,5760
CONGESTED,36,336.8922602371719,68307.55828198664,10.0,0.6771225929260254,optimal,86998.11263277277,10.0,86994.1252826984,False,False,1.8829382497642655e-13,3.552713678800501e-14,1.4210854715202004e-14,5.5067062021407764e-14,0.0,3.9873500743706245,0.0,5760,1920,11520
MULTIDAY,37,24058.802679850567,254650.6579092018,9.584511,11.647482633590698,optimal,295861.56914816704,10.0,295845.40759758506,False,False,4.336087044976011e-12,3.268496584496461e-13,1.1262102361797588e-12,1.1732836924238654e-12,0.0,16.1615505819791,0.4154890000000009,23040,7680,46080
DENSE,38,23548.610273201455,376369.57039494824,10.0,36.845982789993286,optimal,429877.00110678497,10.0,429852.1082366866,False,False,4.04298816647497e-12,1.5418777365994174e-12,1.0231815394945443e-12,1.092459456231154e-12,0.0,24.892870098352432,0.0,34560,11520,76800
CAPSTONE,39,53147.17936477248,795592.7081868361,10.0,178.1928117275238,optimal,1352162.9276844265,10.0,1352124.1043017819,False,False,8.829488251649309e-10,2.6268764941050904e-11,2.4148150146174885e-10,2.3235458002091036e-10,0.0,38.82338264468126,0.0,57600,19200,115200
BASELINE,40,34683.00077535704,50291.12658823747,0.450022,0.14500045776367188,optimal,53633.862550505,0.5464020226319783,53632.43806325267,False,False,6.750155989720952e-14,4.3520742565306136e-14,1.4210854715202004e-14,2.6645352591003757e-14,0.0,1.4244872523267986,0.09638002263197837,2880,960,5760
CONGESTED,41,45903.92554581891,124350.04248608375,1.70892,0.8610000610351562,optimal,142068.33795679617,2.0949060731831324,142064.4818226638,False,False,2.8066438062523957e-13,1.4210854715202004e-14,2.842170943040401e-14,8.526512829121202e-14,0.0,3.856134132365696,0.3859860731831324,5760,1920,11520
MULTIDAY,42,25727.019558116215,310412.5941499501,10.0,14.293630838394165,optimal,367119.0163083441,10.0,367104.57247250853,False,False,8.036238341446733e-12,2.447819724693545e-12,2.6361135496699717e-12,2.1671553440683056e-12,0.0,14.443835835554637,0.0,23040,7680,46080
DENSE,43,18515.844739246037,572558.241830424,10.0,54.15916585922241,optimal,627688.7331366584,10.0,627663.92098494,False,False,1.8268053736392176e-11,2.730260462158185e-11,2.9267255285958527e-11,2.923883357652812e-11,0.0,24.812151718419045,0.0,34560,11520,76800
CAPSTONE,44,45854.18274792224,710945.8663351422,10.0,179.735102891922,optimal,1295639.0782202994,10.0,1295596.6181458964,False,False,6.155254084205808e-10,5.95790083934844e-11,1.6196111118915724e-10,2.2091128926149395e-10,0.0,42.4600744030904,0.0,57600,19200,115200
BASELINE,45,16473.208488799188,43979.879429803164,1.669782,0.2749946117401123,optimal,46623.515748021804,1.8302631984469078,46622.20567076267,False,False,3.232969447708456e-13,7.105427357601002e-15,2.1316282072803006e-14,8.526512829121202e-14,0.0,1.3100772591351415,0.16048119844690767,2880,960,5760
CONGESTED,46,4290.440230316097,113324.4876467837,10.0,0.8623025417327881,optimal,122985.47124520916,10.0,122982.12990811457,False,False,9.57456336436735e-13,4.618527782440651e-14,2.8421709430404007e-13,2.8421709430404007e-13,0.0,3.3413370945927454,0.0,5760,1920,11520
MULTIDAY,47,29727.610713235576,311949.21740543714,9.493585,14.891835927963257,optimal,392568.28595583426,10.0,392554.6186677437,False,False,1.4345857834996423e-11,2.298605750183924e-12,3.4212632726848824e-12,3.410605131648481e-12,0.0,13.667288090568036,0.5064150000000005,23040,7680,46080
DENSE,48,23920.163132483198,511425.9005963731,10.0,37.4771409034729,optimal,566487.5027085034,10.0,566463.0196435177,False,False,2.0747847884194925e-12,5.222489107836736e-13,2.334132886971929e-12,2.8812507935072063e-12,0.0,24.483064985717647,0.0,34560,11520,76800
CAPSTONE,49,74860.03752292784,782772.8396901424,9.456485,170.84082221984863,optimal,1219743.6901276002,10.0,1219704.1641812748,False,False,3.7911362937848025e-10,1.7760015680323704e-11,1.439133257008507e-10,1.588418285791704e-10,0.0,39.52594632538967,0.5435149999999993,57600,19200,115200
BASELINE,50,37445.27529802348,50689.107763873435,0.353685,0.1790006160736084,optimal,53013.065740529506,0.4157477897595271,53011.53550102706,False,False,1.9895196601282805e-13,1.4210854715202004e-14,1.4210854715202004e-14,5.684341886080802e-14,0.0,1.5302395024482394,0.06206278975952706,2880,960,5760
CONGESTED,51,22446.87966860962,87096.78682855295,2.880129,0.8311114311218262,optimal,94835.94772750216,3.224905604893434,94832.86519136847,False,False,2.913225216616411e-13,2.1316282072803006e-14,3.197442310920451e-14,8.526512829121202e-14,0.0,3.082536133690155,0.344776604893434,5760,1920,11520
MULTIDAY,52,9296.989385695737,247324.7629035296,10.0,14.69868016242981,optimal,304994.58891063376,10.0,304980.48372357315,False,False,6.430411758628907e-12,3.517186542012496e-13,1.538325022920617e-12,1.5205614545266144e-12,0.0,14.105187060602475,0.0,23040,7680,46080
DENSE,53,25065.807828768448,680529.7549332929,10.0,44.236531496047974,optimal,744192.9500792639,10.0,744167.85746118,False,False,4.260236607933621e-11,1.071498445526231e-11,4.589395530274487e-11,3.7697844845752115e-11,0.0,25.092618083930574,0.0,34560,11520,76800
CAPSTONE,54,37414.15943690833,710512.4010134502,10.0,149.80942797660828,optimal,1133374.8403810663,10.0,1133332.9437231203,False,False,1.0601914679497781e-08,1.5641177242287085e-10,2.789882103115815e-09,2.7899815790988214e-09,0.0,41.89665794605389,0.0,57600,19200,115200
BASELINE,55,31610.17009660131,59422.47857282172,0.879853,0.14999914169311523,optimal,62754.214184478464,0.9852539227633095,62752.88591464572,False,False,1.8118839761882555e-13,1.0658141036401503e-14,1.4210854715202004e-14,5.684341886080802e-14,0.0,1.3282698327457183,0.10540092276330948,2880,960,5760
CONGESTED,56,9829.299300936138,86800.2586828829,7.830768,0.7045128345489502,optimal,99958.66640897312,9.169460033665231,99954.84970939519,False,False,2.2737367544323206e-13,3.197442310920451e-14,2.842170943040401e-14,6.394884621840902e-14,0.0,3.816699577932013,1.3386920336652315,5760,1920,11520
MULTIDAY,57,12133.729155409714,289406.4533479397,10.0,13.975891351699829,optimal,346522.6713211083,10.0,346508.1657215948,False,False,7.393197165583842e-12,1.6626700016786344e-12,1.7053025658242404e-12,1.7621459846850485e-12,0.0,14.505599513475318,0.0,23040,7680,46080
DENSE,58,19119.709142578726,436814.05452056485,10.0,42.41213655471802,optimal,514897.1159067818,10.0,514872.8984395086,False,False,1.4082957022765186e-11,5.186961971048731e-13,3.68771679859492e-12,4.000355602329364e-12,0.0,24.217467273236252,0.0,34560,11520,76800
CAPSTONE,59,25120.31082685511,625985.8371387344,10.0,179.53730487823486,optimal,1115811.9261541483,10.0,1115770.9579857672,False,False,9.710987569633289e-11,5.17896836527143e-12,2.55298004958604e-11,2.794742215428414e-11,0.0,40.96816838113591,0.0,57600,19200,115200
BASELINE,60,11537.813656218463,48433.27725740449,3.197786,0.15200161933898926,optimal,51878.63174708007,3.4964005564106997,51877.11524623577,False,False,1.1723955140041653e-13,7.105427357601002e-15,2.1316282072803006e-14,4.440892098500626e-14,0.0,1.516500844300026,0.2986145564106999,2880,960,5760
CONGESTED,61,8299.538458231638,85831.80181952273,9.341756,0.7814562320709229,optimal,98217.35471479504,10.0,98213.88846169428,False,False,4.227729277772596e-13,4.707345624410664e-14,4.263256414560601e-14,1.1546319456101628e-13,0.0,3.4662531007634243,0.6582439999999998,5760,1920,11520
MULTIDAY,62,3315.8414578262114,460407.6706318753,10.0,14.373872756958008,optimal,511292.9293263273,10.0,511276.6652313368,False,False,3.0233593406592263e-12,6.075140390748857e-13,8.064660050877137e-13,8.073541835074138e-13,0.0,16.26409499050351,0.0,23040,7680,46080
DENSE,63,896.3765329188925,566734.3480051488,10.0,48.307377099990845,optimal,624478.127446629,10.0,624454.0534187477,False,False,6.551204023708124e-12,3.561595462997502e-12,1.787014980436652e-12,1.730171561575844e-12,0.0,24.0740278812591,0.0,34560,11520,76800
CAPSTONE,64,26513.668108395796,638991.9468597536,10.0,158.58004331588745,optimal,1090964.0751110816,10.0,1090923.3305424913,False,False,1.744580480078639e-09,9.875478212961752e-11,4.5909231971563713e-10,4.638334161199964e-10,0.0,40.74456859030761,0.0,57600,19200,115200
BASELINE,65,35791.157090276014,51494.73140686694,0.438756,0.14800095558166504,optimal,53962.070444713245,0.507692816638955,53960.34442168752,False,False,1.0125233984581428e-13,1.0658141036401503e-14,1.4210854715202004e-14,4.440892098500626e-14,0.0,1.726023025723407,0.06893681663895507,2880,960,5760
CONGESTED,66,23655.828552041898,112282.36049272625,3.746499,0.7698442935943604,optimal,128016.8984850969,4.411642978348997,128014.01783032044,False,False,1.7763568394002505e-13,2.1316282072803006e-14,2.842170943040401e-14,5.684341886080802e-14,0.0,2.880654776454321,0.665143978348997,5760,1920,11520
