seed,nonce,scenario,baseline,profit,raw_quality,clipped_quality,charged_mwh,discharged_mwh,degradation_cost,transaction_cost,terminal_soc_mean,terminal_soc_min,terminal_soc_max,curtailed_value,max_line_util,n_active_constraint_steps,max_curtail_mwh,max_curtail_step,worst_step_time,total_time,error
987654,1,CONGESTED,41057.013504291994,155495.02700652723,2.7872951228536116,2.7872951228536116,2894.717076404052,3440.2268634841157,3.333271387454949,1583.735984972042,0.0,0.0,0.0,241958.4752826679,1.0000000000000007,77,108.24782904937138,51,0.023936399957165122,0.9107471999595873,
987654,6,CONGESTED,11618.514735215234,93155.67443711974,7.0178642927353625,7.0178642927353625,2494.9186825554984,2991.302365195759,3.041656203071692,1371.5552619378145,0.017191079604817867,0.0,0.12772675781249998,194174.40790452628,1.0000000000000022,88,122.04288560314126,44,0.027233100030571222,1.003604700032156,
987654,11,CONGESTED,58657.47074832574,131574.63813367955,1.2431011165988943,1.2431011165988943,2364.1277536978773,2948.3524380571744,2.7235389284111866,1328.1200479387624,0.0,0.0,0.0,205182.31126099935,1.0000000000000004,75,123.89954046205116,50,0.021370199974626303,0.8674365999759175,
987654,16,CONGESTED,23186.278464472834,73848.95597414445,2.18502842468292,2.18502842468292,2291.0209438337774,2792.0033451070844,3.0144873597423607,1270.7560722352155,0.0006201674103005584,0.0,0.012403348206011168,203880.1405449034,1.000000000000001,84,105.41732374316507,26,0.020826499967370182,0.9268509999965318,
987654,21,CONGESTED,2980.999464512717,86725.73927756422,28.09283959353137,10.0,3038.080175656143,3532.2249441834474,3.557212786223128,1642.5762799598979,0.00412670350774083,0.0,0.02702327288847197,197340.35025450937,1.0000000000000004,87,121.18700935066136,37,0.023590400000102818,0.9215528999920934,
987654,26,CONGESTED,46084.87020777623,127295.21557144266,1.7621910400476954,1.7621910400476954,2773.3814013140463,3353.3149032144775,3.050633474776076,1531.674076132131,0.0,0.0,0.0,341187.18342351133,1.0000000000000004,91,127.95120641591757,28,0.023134299961384386,0.9574527000077069,
987654,31,CONGESTED,13701.154640721614,61834.440596838496,3.5130824528865188,3.5130824528865188,1972.4245429095863,2470.6401203529745,2.6441511361310726,1110.76616581564,0.0,0.0,0.0,107975.71171960777,1.0000000000000007,76,99.38547426480986,1,0.0226004000287503,0.8955725000123493,
987654,36,CONGESTED,336.8922602371719,68150.61168449944,201.2920070506501,10.0,3047.8777940946184,3220.213917990985,3.54729991791736,1567.0229280214012,0.20194139657607976,0.032344625385671844,0.39991659885721864,443905.0605149142,1.000000000000001,94,130.54942279850275,28,0.021819900022819638,0.9311291000340134,
987654,41,CONGESTED,45903.92554581891,120029.26267785089,1.614792988813759,1.614792988813759,2861.0829001760812,3314.9473273713897,3.2514948335458373,1544.007556886868,0.041852950949273854,0.0,0.16929658983906493,375106.8734862723,1.0000000000000007,87,125.26957719010898,64,0.022382299997843802,0.9931969000026584,
987654,46,CONGESTED,4290.440230316097,112594.05504584542,25.24300747159157,10.0,2650.3469368971673,3231.3625384132733,2.9693106905728035,1470.42736882761,0.0,0.0,0.0,192082.41644090228,1.0000000000000007,83,104.28902722704379,4,0.023894099984318018,1.002629299997352,
