nonce,t,rt_price_mean,da_price_mean,soc_frac_mean,desired_action_sum,final_action_sum,n_curtailed,min_line_headroom_frac,costate_mean,cum_profit
1,0,67.8177469395275,61.26409764851958,0.5,248.3387144368486,145.7006207009843,4,-2.0453660896506736e-16,63.815685556320794,0.0
1,1,62.250746664706526,60.674070541414835,0.4779790279737515,-364.37025018654634,-145.6623272073275,9,0.0,63.91226694078578,2645.0215720951783
1,2,60.37791911950645,60.54468318447433,0.4958205607927407,-188.67318509684202,-77.25418387611333,6,2.119094288598057e-16,64.17134485937606,941.7613783780916
1,3,55.81235712443738,59.68207931275292,0.5045706301028898,-463.7523241937025,-227.59363716524948,10,1.8834421600651623e-16,64.28360644805522,528.8876933728443
1,4,58.12951561299933,59.116274525951965,0.5364038872663892,-362.9368013881223,-342.1592866418469,2,0.0,64.16497374472647,-2527.6493306133575
1,5,67.21623821034424,59.39956102277307,0.5823233910880179,90.97825780523777,61.597986297829856,5,-1.497569005588598e-16,64.92670131955968,-7292.835810509685
1,6,59.54369824703413,59.07805284095855,0.5721887984671727,-429.9861560024441,-191.25522303390906,14,0.0,65.29882833350717,-5723.059292531934
1,7,65.13785716239953,59.56131904341528,0.598058620400994,-99.53433760115146,-104.53449618436527,4,0.10218655085376778,65.9215353270379,-8366.687230775755
1,8,49.94412041316146,59.31895409605113,0.6117191878352045,-544.5688829141175,-168.31311468640513,14,-2.0453660896506736e-16,66.51665622666289,-9976.667809027198
1,9,57.13900170894177,59.46318376824151,0.6345145127643977,-495.0555534045135,-223.56232357271207,12,-2.0102564925612042e-16,67.01227039474036,-11748.922917178334
1,10,52.292582806291605,59.88544653792667,0.6648615521010142,-522.5620409075915,-203.6366769813218,14,0.0,67.73291537818083,-13826.697323719396
1,11,61.23319962996046,60.586000529087116,0.6875909044216468,-342.18156281485057,-174.92932685861663,11,-2.0453660896506736e-16,68.4198961366747,-16221.611927782804
1,12,62.71271439370228,61.1988490978549,0.7105783236353275,-452.54642794048175,-265.192743388532,9,0.0,68.61521233634419,-18445.010041128306
1,13,75.13495120219002,61.79143380066993,0.7454811702015423,-127.6822793647928,35.89956560603673,10,0.106271788097957,69.99897979145273,-20977.33200850471
1,14,69.53321953379337,63.22661775873753,0.7374188757936475,-132.36051314345565,-4.47963856543964,9,0.323545018278002,71.41324409782132,-18829.584124154044
1,15,80.85077733957968,64.35708068062323,0.7349630780962793,175.58370699580752,114.16460349358172,6,1.8834421600651623e-16,73.11780402940585,-18567.217799993265
1,16,67.45435073274382,65.18488402741337,0.7159076917937146,-340.5727514344879,-111.93860826742196,10,2.0453660896506736e-16,74.1959015076076,-15147.50201983882
1,17,57.0890491103075,66.44458969863379,0.7334076006286023,-544.5688829141175,-261.5126106208676,11,0.0,74.78666907236114,-16602.199147423362
1,18,70.1749622208598,67.41783290695614,0.7648423646055784,-217.57980513758903,-22.02147799070758,11,0.0,76.40955522026958,-19937.46538082519
1,19,66.48397044905275,68.30033106899677,0.7650046439899402,-487.71644635496466,-226.79676335994054,13,-2.0136293402224105e-16,76.93184529640611,-19844.479921716415
1,20,75.86011128840389,70.27518197054299,0.7949547460054259,-190.92896878090966,-85.31177987043736,10,2.0136293402224105e-16,78.5586773089295,-23372.33332910336
1,21,79.35949785668966,71.76281024556621,0.8016960028925182,-229.29656466055997,-106.95306184973218,7,0.0,79.45197513478925,-24208.239583921233
1,22,91.47861584107939,73.52636711968742,0.8166762246114188,257.7031020009382,146.39922103507618,7,-2.0136293402224105e-16,81.87154157076026,-25009.87124301385
1,23,83.9699007765907,75.45115122289573,0.7949135652618758,-317.991499771926,-212.33338238019653,10,0.0,82.71499345834475,-21019.024849425903
1,24,77.4317512434047,76.7825005762979,0.8227501800306077,-269.6999956971736,-131.5795282190348,8,0.0,83.08071904217935,-23161.26467731383
1,25,74.93514953725575,78.63256031935082,0.8388771113595601,-339.82437956998115,-168.77200302049317,15,-2.0136293402224105e-16,83.84630420372197,-25082.31916894553
1,26,98.3809789778368,79.61579033356175,0.8611214422255289,344.7436509062376,154.43936433910577,14,0.0,86.17651100406869,-28017.665520288338
1,27,70.97507272292822,81.18245470237426,0.8410430906426896,-522.6701821948769,-283.50922115647666,12,-2.119094288598057e-16,86.28210863592227,-23337.14871839452
1,28,86.13969747420842,82.66572118010433,0.8787377339969005,-53.01015381640009,65.62745041471855,5,0.12588473794637034,87.97424990032658,-28040.3455316573
1,29,75.1936720676425,84.12913798289019,0.8676490552688303,-385.27299453497375,-110.01559456122997,10,0.0,88.58304498298936,-26341.145623890377
1,30,103.56505143300456,86.05198341372595,0.8840066909371347,253.44047670979984,-12.933413110567528,15,0.0,89.52323497170673,-27983.758068945896
1,31,91.99033461244872,86.8646269035535,0.8884641559394735,32.88423050645337,126.84921214941602,10,1.8834421600651623e-16,90.86197227959859,-26486.453331500146
1,32,93.48409913911102,88.27438574588209,0.8668475167080585,93.56052860675247,76.32308913351217,8,-1.8834421600651623e-16,91.9735116122466,-23285.44953487841
1,33,104.10240673071476,89.59817206559379,0.8539897253146671,376.43750947678274,205.3844426056228,8,0.0,93.1015454675726,-21209.23293491324
1,34,94.20246604650632,90.90495833316551,0.8248824139372843,-10.64991922839418,159.9969429392841,11,0.0,93.90382341536474,-15515.004653388634
1,35,84.17763210628378,91.64467514596167,0.7978501699167152,-290.47714986615983,-167.17396522872087,6,0.0,94.0171542649445,-11588.626652693314
1,36,85.5357037319513,92.9662026789404,0.8237305757652333,-317.396756309825,-269.09260175689514,3,0.09663720394659987,93.84636401861725,-14425.861020956048
1,37,88.28396454925738,94.84153975753983,0.8637568915547071,-305.73558807018287,-157.1307089863464,6,0.0,93.74816191564312,-18478.611241033213
1,38,96.76487066798721,95.82743247325614,0.8862719909623087,192.3418771344664,125.41169651183907,7,-1.8834421600651623e-16,94.20674017579026,-20170.21290647965
1,39,106.40666116587465,96.61145069345044,0.8672477157021966,172.66094843528623,204.44217084461604,7,-2.0453660896506736e-16,94.67423784389749,-16758.68806339398
1,40,82.05217160512058,97.90684839297106,0.8335016245022422,-411.1671648997102,-247.14051065266267,8,0.0,94.33210429910697,-10403.705966437366
1,41,99.75465349470457,98.53709708810622,0.8673866415297955,314.73043691341775,311.7146072260388,5,-2.0453660896506736e-16,94.86487253307078,-15010.826469016567
1,42,118.2743965969933,99.41070516835957,0.8187894705102305,544.5688829141175,174.0804838134375,13,0.0,94.87177709365601,-6906.747056054915
1,43,110.68636430526995,100.10562466208657,0.793691333240077,11.781449834134026,78.41639586293343,3,2.0136293402224105e-16,94.78514697160857,-1541.2245358612236
1,44,90.82914752165254,100.4866202440549,0.7741584286614518,-180.106297852249,16.044578143758937,8,0.1435767109569614,94.43621739896399,3081.779263030814
1,45,102.54145705423215,100.92893232053777,0.770214486775487,374.2107457709549,221.03590753511634,10,0.0,94.30902370217417,3844.875386376034
1,46,103.75061980931062,101.3265758729926,0.7381430063086974,344.9622924279201,262.4985805223305,5,-2.0136293402224105e-16,94.32412036574713,9760.303967577127
1,47,103.52973552833843,101.60720300065853,0.6989760215007792,396.87737471948856,234.6417447271539,9,0.0,94.08458033228473,17013.108600097643
1,48,95.65646460072007,101.94536870392152,0.6650507925671468,35.91568716282587,48.52426160517552,6,1.8834421600651623e-16,93.6346984263823,23754.530242477354
1,49,126.82733922927414,102.07780041538301,0.6510824143229401,544.5688829141175,284.0417399984794,11,-2.0453660896506736e-16,93.5550007908752,25807.89172706737
1,50,91.28312419176697,102.35459037812159,0.6062254575956708,-87.24279175811749,76.46577496410862,8,0.03024852071767866,92.89518125181596,35316.92733347252
1,51,110.28584092175663,102.19763018988613,0.5935232920254954,489.09794244079023,164.5273838896271,12,-2.119094288598057e-16,92.38757232970893,37739.87636272566
1,52,94.56860458190286,102.27261397741744,0.5679819451208192,164.6472436638431,201.6424109909896,3,0.1417792380226997,92.10224929397836,42733.727674434
1,53,124.81340039484726,101.72666552598781,0.5346863036734507,544.5688829141175,316.3477637727634,9,-1.8834421600651623e-16,91.97422523277784,47948.758262343064
1,54,102.73618599814192,101.67160033898398,0.48469342114899006,351.3024168019956,274.5185764493156,5,-1.497569005588598e-16,91.6771723273274,58285.126215305485
1,55,96.31304622930584,100.38234791567923,0.4446635365504714,250.21418436687398,161.62510440763936,7,-2.995138011177196e-16,91.21935081355632,66055.05011930183
1,56,80.72851310839117,100.01409232246884,0.42340362726428227,-423.3644785758145,-210.28081307164035,11,-2.119094288598057e-16,89.93267092305749,70541.33203737957
1,57,112.2759698104896,99.21568998347814,0.4490270733876408,544.5688829141175,440.99850372985696,7,-4.238188577196114e-16,90.0050857295715,67443.96973357815
1,58,112.54935765815017,98.3398323463,0.3830880614914157,544.5688829141175,430.5034078285874,6,-4.090732179301347e-16,90.39701862160965,80003.6352361495
1,59,111.42410912712334,97.75447961848587,0.3175415295266927,517.6227830427731,394.4665044677464,5,-2.0453660896506736e-16,90.45288149751629,92233.79670831253
1,60,95.70115358510107,96.86819330269518,0.25472201246879855,-153.02278973603472,-81.11272896188547,9,0.0,89.00484979401503,103300.17691786714
1,61,87.8703464157716,95.67918462274729,0.265628302081398,-101.1807069559363,67.88732606686116,10,0.0,88.5317954856397,102817.46912984631
1,62,88.97905832546415,94.26880484852965,0.24936540641026084,-57.18823489373591,109.8652426487279,11,-2.0136293402224105e-16,88.35010869868934,104937.89961921064
1,63,94.40384416594462,93.64029695565966,0.22793735858239925,246.6815185954984,183.41381380380088,8,-2.0136293402224105e-16,87.80966984141784,108341.41011407273
1,64,90.12492302045014,92.43352767868294,0.20071913547542725,86.89052015454193,117.76379399052496,3,0.11177241459584701,87.42359145068767,113029.6940101742
1,65,102.6039557078579,91.47692366124187,0.18198586714180778,274.2543598167188,244.59124647995625,5,2.0136293402224105e-16,87.5066434714129,116656.62049416278
1,66,83.81411348747316,90.63690734971601,0.1440149808689431,-253.6891372580138,-101.55030252918513,9,0.1500000000000001,86.58934785050293,123725.9426470503
1,67,90.68390263853496,90.24809065920009,0.16012997538648693,190.98513748814685,195.4922187482654,9,0.0,86.2314721400499,122792.74724137574
1,68,78.43321885596632,89.38051885132946,0.1302091680010215,-366.3577590678411,-150.33795190063577,13,-4.238188577196114e-16,84.67020302480327,127473.01918960764
1,69,95.20780321610565,88.09570400565164,0.15258462211707455,338.79428961134465,169.64442534841965,12,-2.0453660896506736e-16,84.63118412904655,124889.23831672227
1,70,82.29547657336875,87.32938419543642,0.12617720115176384,-30.15890093877801,73.43635060923572,7,0.07085923523055558,83.96205343241421,129215.8916184318
1,71,95.21839035461917,86.39368224538492,0.11277259588860596,357.51873852739817,296.9610987827926,6,-2.0136293402224105e-16,84.23164549225753,131125.4959537636
1,72,100.82171178070482,85.5500345211553,0.06552989928709958,253.51274712827896,239.7364726060888,2,-6.136098268952021e-16,83.79540738898656,138336.11138149744
1,73,77.5589917523128,84.24780386912285,0.029859001453345923,-188.99343111119592,-170.25714495067695,3,0.0,82.3859773344115,144645.82884332302
1,74,105.04924088712028,83.02196378196501,0.052701101304283536,330.64444442667474,304.6816099768974,2,-1.8834421600651623e-16,82.6850000462565,141936.55143882905
1,75,77.21017597467815,82.47458272967965,0.008319754366894578,-180.8017564431227,-130.10279588373825,2,0.27346245879743064,81.34798793089196,149952.5061812769
1,76,58.44588876867442,81.6510711178684,0.026874441866894576,-544.5688829141175,-140.21904715970334,16,0.0,79.80057874790054,147798.18556665207
1,77,72.78277817769408,80.5410244134922,0.044219186792113216,-327.74788793216396,-2.0771251621489633,17,0.0,78.9137741997142,145717.9346673752
1,78,90.4876876553459,80.41807222734651,0.043101160345690726,96.53880968062575,241.3116505719099,7,0.026163862884458045,78.17711882706067,146073.16394978267
1,79,75.54900519741092,78.59024838848688,0.006886145613802912,-322.45483257580787,-108.31963201656528,10,-2.0102564925612042e-16,76.54694288714146,151454.76968398853
