scenario,nonce,baseline_profit,v6_profit,v6_quality,oracle1_profit,oracle1_status,oracle1_time,oracle1_degcheck,oracle3_profit,oracle3_status,oracle3_time,oracle2_profit,oracle2_status,oracle2_time,oracle2_replay_profit,oracle2_bound_violation,oracle2_flow_violation,oracle2_replay_error,oracle2_max_clip,oracle2_quality
CONGESTED,1,41057.013504291994,155756.5032550325,2.793663736305527,193426.91420907798,optimal,0.23293232917785645,193421.9311529187,195666.19277111074,optimal,0.23603272438049316,169400.7000400158,optimal,1.3669073581695557,169396.84175322938,False,False,,3.0375701953744283e-13,3.125986904020213
CONGESTED,6,11618.514735215234,88565.25618711456,6.622769192008181,126522.58237267406,optimal,0.24900126457214355,126518.13784939324,128410.88616675195,optimal,0.23880982398986816,105462.75955722097,optimal,1.4378912448883057,105459.4628553053,False,False,,5.755396159656812e-13,8.077129215965153
CONGESTED,11,58657.47074832574,126674.31480738246,1.1595597830961466,165553.7597299044,optimal,0.2010340690612793,165549.65598438127,167403.5293826395,optimal,0.20600628852844238,142813.45744727386,optimal,1.4769635200500488,142810.27245843847,False,False,,9.343636975245317e-13,1.4347019335114357
CONGESTED,16,23186.278464472834,69441.18439827424,1.9949258352383086,102202.12813726506,optimal,0.20396924018859863,102197.47320198371,104043.9929341064,optimal,0.19403529167175293,79612.04515413624,optimal,1.4102044105529785,79608.65593271445,False,False,,3.446132268436486e-13,2.4335844483921028
CONGESTED,21,2980.999464512717,79897.18661763772,10.0,113038.57120701403,optimal,0.2030329704284668,113033.36503093898,115284.61048150377,optimal,0.2030022144317627,93281.31592383047,optimal,1.5632338523864746,93277.53935532646,False,False,,2.1671553440683056e-13,10.0
CONGESTED,26,46084.87020777623,125543.14073720115,1.7241726008874205,168170.2186119826,optimal,0.20249176025390625,168165.52631050607,170328.7558471835,optimal,0.19640517234802246,139432.91186589844,optimal,1.453489065170288,139429.42747515198,False,False,,5.684341886080801e-13,2.0255680711528914
CONGESTED,31,13701.154640721614,62238.79149694468,3.542594629829248,79331.88175425265,optimal,0.21304702758789062,79327.18250206846,81093.03481253269,optimal,0.19598603248596191,68318.74143894053,optimal,1.4035158157348633,68315.36265777652,False,False,,1.5631940186722204e-13,3.986349196578075
CONGESTED,36,336.8922602371719,61441.911458690716,10.0,138182.72163781777,optimal,0.19900107383728027,138177.81974806823,140310.37360488626,optimal,0.20499968528747559,86998.11263277274,optimal,1.3492720127105713,86994.1237252649,False,False,,3.410605131648481e-13,10.0
CONGESTED,41,45903.92554581891,111998.88688695116,1.4398542293233694,176114.41757979125,optimal,0.20246171951293945,176109.6548696671,178198.6896704534,optimal,0.21199941635131836,142068.33795679628,optimal,1.4187567234039307,142064.49144936822,False,False,,5.080380560684716e-13,2.094906073183135
CONGESTED,46,4290.440230316097,109887.18326008267,10.0,145460.33508962922,optimal,0.20901846885681152,145455.42263359015,147729.1398835386,optimal,0.2125105857849121,122985.47124520913,optimal,1.5291905403137207,122982.12081904274,False,False,,7.318590178329032e-13,10.0
