seed,nonce,scenario,baseline,profit_policy_v6,profit_policy_v8,profit_policy_v9,profit_policy_v10,profit_policy_v11,q_policy_v6,q_policy_v8,q_policy_v9,q_policy_v10,q_policy_v11,best,gain_over_v11,n_tied,error
123,5,BASELINE,30390.249663386,45540.60899771032,44987.97327165276,44987.97327165276,44987.97327165276,45850.03677725205,0.4985269782787885,0.4803423390553343,0.4803423390553343,0.4803423390553343,0.5087087893188059,policy_v11,0.0,1,
123,0,BASELINE,29236.94100840674,66262.52874036541,66875.39504784434,66875.39504784434,66875.39504784434,67246.61087812837,1.266397456561752,1.2873595095782338,1.2873595095782338,1.2873595095782338,1.3000563177075313,policy_v11,0.0,1,
123,10,BASELINE,22637.523882020487,53831.450241248844,54494.540471722496,54494.540471722496,54494.540471722496,55128.48584311656,1.377974310283365,1.407265951626304,1.407265951626304,1.407265951626304,1.435270135063944,policy_v11,0.0,1,
123,1,CONGESTED,10514.742487435282,65882.62783251613,67868.41335020609,67868.41335020609,67868.41335020609,68738.80012928248,5.265738595688637,5.454595861558347,5.454595861558347,5.454595861558347,5.537373616699159,policy_v11,0.0,1,
123,6,CONGESTED,4938.391240037246,79538.1091726592,88401.12267120635,88401.12267120635,88401.12267120635,89876.90992263667,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,11,CONGESTED,1.6920585948047827e-12,95296.46213200664,108552.02948029575,108552.02948029575,108552.02948029575,111151.48789153234,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,15,BASELINE,2131.482402587612,42143.23875889885,42657.47481081072,42657.47481081072,42657.47481081072,42635.237774522226,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,16,CONGESTED,559.0736649721573,87844.70426746043,90215.68231492472,90215.68231492472,90215.68231492472,90910.12680739169,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,2,MULTIDAY,6625.7937828671975,264490.08739935706,264490.08739935706,330694.0010086216,335422.88802055764,335422.88802055764,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,7,MULTIDAY,3967.7718222257763,186413.5635968599,186413.5635968599,253793.34184009448,263493.44695909135,263493.44695909135,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,12,MULTIDAY,15684.50133929123,276659.4781038013,276659.4781038013,321299.53703763173,317867.17299777566,317867.17299777566,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,20,BASELINE,11564.201803684049,34268.709461725506,34651.05426106445,34651.05426106445,34651.05426106445,35257.51473198166,1.9633441236597113,1.9964069156964324,1.9964069156964324,1.9964069156964324,2.0488498323075524,policy_v11,0.0,1,
123,21,CONGESTED,3439.2725253480166,64742.738677407004,69447.25028746326,69447.25028746326,69447.25028746326,69162.63217424246,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,4,CAPSTONE,29634.689750597066,694849.590160206,694849.590160206,694849.590160206,694849.590160206,694849.590160206,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,9,CAPSTONE,27910.77826445484,899335.1517566293,899335.1517566293,899335.1517566293,899335.1517566293,899335.1517566293,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
