seed,scenario,nonce,baseline,O0,O1,O4,OF,OA,OT,OV
2025,BASELINE,30,33184.17521623993,0.38684066365257475,0.38684066365257475,0.44875024662665297,0.49575276516189437,0.38684066365257475,0.4221827280994357,0.4561963172250158
2025,BASELINE,15,27500.233608659026,0.4892486538244365,0.4892486538244365,0.5589489176003893,0.5789690708125501,0.4892486538244365,0.5034752254699816,0.5635791787379502
2025,BASELINE,45,30501.01851042211,0.6439587958504099,0.6439587958504099,0.736066574544734,0.7623228242972123,0.6439587958504099,0.6690642443273556,0.727533946607586
2025,BASELINE,25,31351.306992349135,0.616217150849379,0.616217150849379,0.7032441904966708,0.7470391505661234,0.616217150849379,0.6315971425206542,0.728934559911846
2025,BASELINE,60,29277.96676470199,0.6875332304472839,0.6875332304472839,0.7347362049381317,0.8544017222515312,0.6875332304472839,0.6849914621163002,0.7810478403215354
2025,BASELINE,0,24487.71965704296,0.7488372548403063,0.7488372548403063,0.8634545735853826,0.9433044413582149,0.7488372548403063,0.8136176715079743,0.8952179110259888
2025,BASELINE,70,22828.038504691944,1.1594567714598056,1.1594567714598056,1.2550733908932408,1.353070209667566,1.1594567714598056,1.1687225988672065,1.2425275777599847
2025,BASELINE,40,18419.925197768676,1.190999207249516,1.190999207249516,1.3279269845511528,1.425159914588961,1.190999207249516,1.2763730566425102,1.3375028729364353
2025,BASELINE,10,19940.422849033042,1.322273140781417,1.322273140781417,1.402641075694488,1.4615284064789216,1.322273140781417,1.3371925531920132,1.4120913715815393
2025,BASELINE,55,17680.451359048733,1.5485577772393535,1.5485577772393535,1.6494755981847307,1.7115021932243726,1.5485577772393535,1.5848851068444674,1.6657271157203255
2025,BASELINE,90,9044.69416191717,4.320368951380809,4.320368951380809,4.383699115138331,4.530758863993089,4.320368951380809,4.322580029055997,4.410319543151008
2025,BASELINE,20,4196.236137799708,7.746557427599166,7.746557427599166,8.087040928724537,8.242240095802892,7.746557427599166,7.7893744144639765,8.166074160223072
