seed,scenario,nonce,baseline,O0,O1,O2,O4,O8,OF
2025,CONGESTED,71,59283.99208526533,1.4227129271535892,1.518371764794537,1.5227133552257839,1.5369916926510543,1.551123430146971,1.6838386790846467
2025,CONGESTED,76,30578.552208764413,1.8311952251417787,1.882201736307982,1.9142534466636556,1.9494500497276457,1.99000638585502,2.2025950127397667
2025,CONGESTED,1,20604.85401711132,2.8045905646195295,2.828730226070708,2.8965812371594435,2.9757449862766605,3.0343514166355723,3.3853055075983653
2025,CONGESTED,36,22000.195016664256,2.9833992911320637,3.0341192583085212,3.078833136624138,3.0852363143688994,3.124472057139102,3.786268413667102
2025,CONGESTED,26,17314.22423378204,3.6177715207182035,3.731333329405021,3.733915750021639,3.751139722250831,3.725233857329769,4.422215982762226
2025,CONGESTED,81,21249.03497773715,3.9605642434151918,4.138005744991721,4.1756551385572145,4.252745618839909,4.3073318527765485,4.6398517457574044
2025,CONGESTED,86,20756.198394625328,4.377382188236922,4.518424106192283,4.581075574100597,4.610557212773213,4.624716737666015,4.954607606097699
2025,CONGESTED,11,19041.271913950368,4.962381084794661,5.02101115253339,5.0476476626698945,5.076948891426848,5.078311764872591,5.635347955908052
2025,CONGESTED,56,16351.52807012062,5.257930117510232,5.2022134756542995,5.226623440250811,5.259561703846027,5.410288062632749,6.92692085983418
2025,CONGESTED,96,13209.196757107404,6.200830372638873,6.177689638990246,6.267023825102693,6.278269028411993,6.44259680937573,7.605784529365407
2025,CONGESTED,61,10788.715516282122,6.390790719097096,6.484026546331537,6.546674490239472,6.534194070570352,6.63081445893921,8.661582541358502
2025,CONGESTED,46,10458.97088431878,7.172780772725719,7.448015959455753,7.543234681736132,7.509031095005835,7.6196828431103745,8.221467499974944
