seed,scenario,nonce,baseline,O0,O1,O2,O4,O8,OF
42,BASELINE,95,30953.164022291945,0.38524586115466447,0.41665219533624814,0.42869256629848224,0.4305001355986847,0.4326114852083493,0.4685987224618246
42,BASELINE,55,33865.39521049986,0.4584399975476791,0.4836729640161239,0.48907770027486597,0.49591661242621543,0.49644602673088184,0.5206245769163238
42,BASELINE,0,30227.6499516274,0.48093523574965513,0.5482693419873076,0.5635423937159234,0.5758032854474128,0.5915422037445208,0.6238920536143145
42,BASELINE,10,39843.78418341625,0.5460769782084236,0.5929933143444741,0.5993159902224667,0.5976900400334757,0.5973742210266,0.6258260553124285
42,BASELINE,80,35447.01710752677,0.644681675214748,0.6666085741949733,0.6772501750609101,0.6832657318146979,0.686458879854717,0.705953424021764
42,BASELINE,35,28626.640730539126,0.641867243754248,0.7297420853240753,0.7459654206252,0.7531241179694648,0.7601472175196091,0.8133850241476268
42,BASELINE,75,21713.300543695157,1.0204989161902802,1.158419167926387,1.1718339057391463,1.1931877715590202,1.196669043155445,1.2457736373620105
42,BASELINE,5,16334.1934253334,1.307632387424924,1.3815646384917304,1.4311011673507636,1.4447081997437106,1.4664673871375322,1.5451636866623062
42,BASELINE,25,15532.435120144839,1.394595053694745,1.4677512505571768,1.4840656833027368,1.4863141207820025,1.4826007732599822,1.5490795044691368
42,BASELINE,70,19792.5863532023,1.396118316849071,1.474615631199835,1.4968392682455454,1.4872000806300525,1.4863503536016038,1.5829513628783196
42,BASELINE,45,6848.631128574558,5.522998008097701,5.560342454773254,5.572210433460577,5.607560410398983,5.627660363413802,6.046198992950469
42,BASELINE,50,5956.717075153195,6.959307231329294,7.170962593088872,7.183054607023999,7.229873694087811,7.252794097829977,7.399323941383663
