seed,scenario,nonce,baseline,O0,O1,O4,OF,OA,OT,OV
2025,CONGESTED,71,59283.99208526533,1.4227129271535892,1.4227129271535892,1.5339384880652969,1.6838386790846467,1.4227129271535892,1.4776104115163742,1.548785797091026
2025,CONGESTED,76,30578.552208764413,1.8311952251417787,1.8311952251417787,1.931320594738778,2.2025950127397667,1.8311952251417787,1.866945048403629,2.0509028182264504
2025,CONGESTED,1,20604.85401711132,2.8045905646195295,2.8045905646195295,2.906003903705005,3.3853055075983653,2.8045905646195295,2.9526089359969663,3.0547445394544663
2025,CONGESTED,36,22000.195016664256,2.9833992911320637,2.9833992911320637,3.110146025035715,3.786268413667102,2.9833992911320637,3.0103379816323197,3.2329270571295607
2025,CONGESTED,26,17314.22423378204,3.6177715207182035,3.6177715207182035,3.7399118709394386,4.422215982762226,3.6177715207182035,3.6578993038828966,3.7358132706055844
2025,CONGESTED,81,21249.03497773715,3.9605642434151918,3.9605642434151918,4.214291832478519,4.6398517457574044,3.9605642434151918,4.088635645210206,4.436493342396557
2025,CONGESTED,86,20756.198394625328,4.377382188236922,4.377382188236922,4.58405780201421,4.954607606097699,4.377382188236922,4.535313183191123,4.642179117696946
2025,CONGESTED,11,19041.271913950368,4.962381084794661,4.962381084794661,5.103995725258985,5.635347955908052,4.962381084794661,5.005149069910169,5.127751286772876
2025,CONGESTED,56,16351.52807012062,5.257930117510232,5.257930117510232,5.211354633803666,6.92692085983418,5.257930117510232,5.281079687104452,5.501086623989362
2025,CONGESTED,96,13209.196757107404,6.200830372638873,6.200830372638873,6.2936568377971644,7.605784529365407,6.200830372638873,6.220291496154049,6.515629391969306
2025,CONGESTED,61,10788.715516282122,6.390790719097096,6.390790719097096,6.577415246889148,8.661582541358502,6.390790719097096,6.482262437244613,6.62316011901968
2025,CONGESTED,46,10458.97088431878,7.172780772725719,7.172780772725719,7.509763913589867,8.221467499974944,7.172780772725719,7.3820623053284296,7.727370879393358
