nonce,t,rt_price_mean,da_price_mean,soc_frac_mean,desired_sum_mw,final_sum_mw,desired_minus_final_mw,value_lost,repair_engaged,min_line_headroom_frac,costate_mean,cum_profit
86,0,10.417033022868768,9.282929647164078,0.5,-377.38169793674865,-264.26913704936214,-113.11256088738651,72.68653519828513,1,0.0,13.05214012489285,0.0
86,1,11.129874257267588,9.745776626521984,0.5389314670006943,-377.26140747821125,-56.25256742902948,-321.0088400491818,109.08916073307046,1,-1.4898242808414094e-16,13.750451974287913,-555.5472438931179
86,2,10.685151735720627,9.922528178910197,0.5432125455343317,-378.03706286808654,-200.1143969105817,-177.92266595750485,104.44128486816771,1,0.0,14.38903603975135,-649.2174483536397
86,3,11.810977293487664,9.990095456552483,0.5739348673728031,-365.2407821181171,-269.13188437957234,-96.10889773854478,51.441723455820465,1,-2.979648561682819e-16,14.566087793447267,-867.5536171964445
86,4,11.749179456263075,10.725543604577467,0.6182948084454011,-444.9715037220699,-325.4415231543373,-119.5299805677326,24.28121200259193,1,4.469472842524228e-16,14.850454745113078,-1390.0809687368856
86,5,9.07515476491689,11.11131531564758,0.6696069107503688,-483.3543794544123,-331.7722949553367,-151.58208449907562,178.58153031187248,1,-3.6943138613131757e-16,15.1970567171308,-2309.232143034444
86,6,8.667545296585956,11.190862765119926,0.7193393974338906,-473.9444711914973,-320.5726582303344,-153.3718129611629,147.08357204476488,1,0.0,15.522969469914889,-3124.096008444627
86,7,11.51548434248953,12.201473811769043,0.7640956705976307,-374.42339492763836,-188.7478443912667,-185.67555053637165,80.67178959680314,1,0.0,15.61642620102844,-3824.3526551665996
86,8,11.797483722191261,12.604125463326309,0.7932172642908086,-439.4656667415468,-199.96729444441522,-239.49837229713157,132.79764831706416,1,0.0,16.118514252320978,-4280.884195256614
86,9,16.58755521897647,13.497479002371998,0.8236265741774472,-38.33160425000618,-48.19960444555974,9.868000195553563,1.8624692834127927,1,-2.075970256849051e-16,16.920202109346494,-4784.066038153967
86,10,20.60574342270905,14.861794563356844,0.8313825747320033,31.15980167920998,15.501752021943897,15.658049657266083,0.4544068193936255,1,0.0,17.520754182658898,-4689.740930373669
86,11,16.121791860381453,15.290947039843818,0.8271490808334663,-344.4311514075747,-288.79417092206,-55.6369804855147,12.83219395740889,1,-1.8471569306565878e-16,18.097561051038802,-3974.67374425233
86,12,20.296223890327088,16.703039816033048,0.8706756481492901,90.48243224797145,81.78042135839861,8.702010889572833,-0.23411739608854987,1,0.0,19.130947945183163,-5088.45904051972
86,13,14.075294423819491,17.821654669031457,0.8546216778444655,-458.2460186923149,-241.25807083141504,-216.98794786089988,194.90423016130808,1,0.0,19.714057546722138,-4598.845187770805
