nonce,scenario,baseline_profit,frozen_profit,frozen_quality,oracle_profit,oracle_replay_profit,oracle_quality,oracle_time_s,bound_violation,flow_violation,error
22,MULTIDAY,18181.656705796402,288088.07696769154,10.0,348367.76160927647,348353.44394199335,10.0,36.42326045036316,False,False,
42,MULTIDAY,25727.019558116215,310412.5941499501,10.0,367119.0163083431,367104.5671748015,10.0,39.65748119354248,False,False,
62,MULTIDAY,3315.8414578262114,460407.6706318753,10.0,511292.9293263268,511276.66971500096,10.0,33.36686587333679,False,False,
82,MULTIDAY,8404.736622618868,367536.310204778,10.0,410880.042600594,410865.4693408748,10.0,31.633393049240112,False,False,
3,DENSE,34208.64974731878,311853.5358633516,8.116218797255451,376946.78086079546,376924.31132982223,10.0,164.05417728424072,False,False,
43,DENSE,18515.844739246037,552664.8243213951,10.0,627688.7331366603,627663.9349743276,10.0,139.39024543762207,False,False,
83,DENSE,43203.02810113324,372965.92185824126,7.632865293088686,433582.3790470718,433560.12718146207,9.035410623475583,172.22024297714233,False,False,
8,DENSE,7624.159325053755,530870.5272350506,10.0,580444.1391017286,580419.0226164924,10.0,130.04526448249817,False,False,
23,DENSE,41107.29560076989,652846.3469741002,10.0,732550.5394595251,732527.5722827641,10.0,129.89096522331238,False,False,
58,DENSE,19119.708924752507,433007.00763139897,10.0,514897.11455804587,514872.9203766898,10.0,130.62340354919434,False,False,
93,DENSE,44599.46155098167,584265.3392677115,10.0,675318.3798476502,675295.6965563017,10.0,175.7750165462494,False,False,
